n in rpm,M_max in Nm
600,410.2
608,414.932
616,419.664
624,424.396
632,429.128
640,433.86
648,438.592
656,443.324
664,448.056
672,452.788
680,457.52
688,462.252
696,466.984
704,471.716
712,476.448
720,481.18
728,485.912
736,490.644
744,495.376
752,500.108
760,504.84
768,509.572
776,514.304
784,519.036
792,523.768
800,528.5
808,532.084
816,535.668
824,539.252
832,542.836
840,546.42
848,550.004
856,553.588
864,557.172
872,560.756
880,564.34
888,567.924
896,571.508
904,575.092
912,578.676
920,582.26
928,585.844
936,589.428
944,593.012
952,596.596
960,600.18
968,603.764
976,607.348
984,610.932
992,614.516
1000,618.1
1008,618.548
1016,618.996
1024,619.444
1032,619.892
1040,620.34
1048,620.788
1056,621.236
1064,621.684
1072,622.132
1080,622.58
1088,623.028
1096,623.476
1104,623.924
1112,624.372
1120,624.82
1128,625.268
1136,625.716
1144,626.164
1152,626.612
1160,627.06
1168,627.508
1176,627.956
1184,628.404
1192,628.852
1200,629.3
1208,629.3
1216,629.3
1224,629.3
1232,629.3
1240,629.3
1248,629.3
1256,629.3
1264,629.3
1272,629.3
1280,629.3
1288,629.3
1296,629.3
1304,629.3
1312,629.3
1320,629.3
1328,629.3
1336,629.3
1344,629.3
1352,629.3
1360,629.3
1368,629.3
1376,629.3
1384,629.3
1392,629.3
1400,629.3
1408,629.3
1416,629.3
1424,629.3
1432,629.3
1440,629.3
1448,629.3
1456,629.3
1464,629.3
1472,629.3
1480,629.3
1488,629.3
1496,629.3
1504,629.3
1512,629.3
1520,629.3
1528,629.3
1536,629.3
1544,629.3
1552,629.3
1560,629.3
1568,629.3
1576,629.3
1584,629.3
1592,629.3
1600,629.3
1608,628.796
1616,628.292
1624,627.788
1632,627.284
1640,626.78
1648,626.276
1656,625.772
1664,625.268
1672,624.764
1680,624.26
1688,623.756
1696,623.252
1704,622.748
1712,622.244
1720,621.74
1728,621.236
1736,620.732
1744,620.228
1752,619.724
1760,619.22
1768,618.716
1776,618.212
1784,617.708
1792,617.204
1800,616.7
1808,615.916
1816,615.132
1824,614.348
1832,613.564
1840,612.78
1848,611.996
1856,611.212
1864,610.428
1872,609.644
1880,608.86
1888,608.076
1896,607.292
1904,606.508
1912,605.724
1920,604.94
1928,604.156
1936,603.372
1944,602.588
1952,601.804
1960,601.02
1968,600.236
1976,599.452
1984,598.668
1992,597.884
2000,597.1
2008,595.532
2016,593.964
2024,592.396
2032,590.828
2040,589.26
2048,587.692
2056,586.124
2064,584.556
2072,582.988
2080,581.42
2088,579.852
2096,578.284
2104,576.716
2112,575.148
2120,573.58
2128,572.012
2136,570.444
2144,568.876
2152,567.448
2160,566.44
2168,565.432
2176,564.424
2184,563.416
2192,562.408
2200,561.4
2208,558.768
2216,556.136
2224,553.504
2232,550.872
2240,548.24
2248,545.608
2256,542.976
2264,540.344
2272,537.712
2280,535.08
2288,532.448
2296,529.816
2304,527.1
2312,524.3
2320,521.5
2328,518.7
2336,515.9
2344,513.1
2352,510.3
2360,507.5
2368,504.7
2376,501.9
2384,499.1
2392,496.3
2400,493.5
2408,490.084
2416,486.668
2424,483.252
2432,479.836
2440,476.42
2448,473.004
2456,469.588
2464,466.172
2472,462.756
2480,459.34
2488,455.924
2496,452.508
2504,446.18
2512,436.94
2520,427.7
2528,418.46
2536,409.22
2544,399.98
2552,390.74
2560,381.5
2568,372.26
2576,363.02
2584,353.78
2592,344.54
2600,335.3
2608,308.476
2616,281.652
2624,254.828
2632,228.004
2640,201.18
2648,174.356
2656,147.532
2664,120.708
2672,93.884
2680,67.06
2688,40.236
2696,13.412
