n in rpm,M_max in Nm
600,586
608,592.76
616,599.52
624,606.28
632,613.04
640,619.8
648,626.56
656,633.32
664,640.08
672,646.84
680,653.6
688,660.36
696,667.12
704,673.88
712,680.64
720,687.4
728,694.16
736,700.92
744,707.68
752,714.44
760,721.2
768,727.96
776,734.72
784,741.48
792,748.24
800,755
808,760.12
816,765.24
824,770.36
832,775.48
840,780.6
848,785.72
856,790.84
864,795.96
872,801.08
880,806.2
888,811.32
896,816.44
904,821.56
912,826.68
920,831.8
928,836.92
936,842.04
944,847.16
952,852.28
960,857.4
968,862.52
976,867.64
984,872.76
992,877.88
1000,883
1008,883.64
1016,884.28
1024,884.92
1032,885.56
1040,886.2
1048,886.84
1056,887.48
1064,888.12
1072,888.76
1080,889.4
1088,890.04
1096,890.68
1104,891.32
1112,891.96
1120,892.6
1128,893.24
1136,893.88
1144,894.52
1152,895.16
1160,895.8
1168,896.44
1176,897.08
1184,897.72
1192,898.36
1200,899
1208,899
1216,899
1224,899
1232,899
1240,899
1248,899
1256,899
1264,899
1272,899
1280,899
1288,899
1296,899
1304,899
1312,899
1320,899
1328,899
1336,899
1344,899
1352,899
1360,899
1368,899
1376,899
1384,899
1392,899
1400,899
1408,899
1416,899
1424,899
1432,899
1440,899
1448,899
1456,899
1464,899
1472,899
1480,899
1488,899
1496,899
1504,899
1512,899
1520,899
1528,899
1536,899
1544,899
1552,899
1560,899
1568,899
1576,899
1584,899
1592,899
1600,899
1608,898.28
1616,897.56
1624,896.84
1632,896.12
1640,895.4
1648,894.68
1656,893.96
1664,893.24
1672,892.52
1680,891.8
1688,891.08
1696,890.36
1704,889.64
1712,888.92
1720,888.2
1728,887.48
1736,886.76
1744,886.04
1752,885.32
1760,884.6
1768,883.88
1776,883.16
1784,882.44
1792,881.72
1800,881
1808,879.88
1816,878.76
1824,877.64
1832,876.52
1840,875.4
1848,874.28
1856,873.16
1864,872.04
1872,870.92
1880,869.8
1888,868.68
1896,867.56
1904,866.44
1912,865.32
1920,864.2
1928,863.08
1936,861.96
1944,860.84
1952,859.72
1960,858.6
1968,857.48
1976,856.36
1984,855.24
1992,854.12
2000,853
2008,850.76
2016,848.52
2024,846.28
2032,844.04
2040,841.8
2048,839.56
2056,837.32
2064,835.08
2072,832.84
2080,830.6
2088,828.36
2096,826.12
2104,823.88
2112,821.64
2120,819.4
2128,817.16
2136,814.92
2144,812.68
2152,810.64
2160,809.2
2168,807.76
2176,806.32
2184,804.88
2192,803.44
2200,802
2208,798.24
2216,794.48
2224,790.72
2232,786.96
2240,783.2
2248,779.44
2256,775.68
2264,771.92
2272,768.16
2280,764.4
2288,760.64
2296,756.88
2304,753
2312,749
2320,745
2328,741
2336,737
2344,733
2352,729
2360,725
2368,721
2376,717
2384,713
2392,709
2400,705
2408,700.12
2416,695.24
2424,690.36
2432,685.48
2440,680.6
2448,675.72
2456,670.84
2464,665.96
2472,661.08
2480,656.2
2488,651.32
2496,646.44
2504,637.4
2512,624.2
2520,611
2528,597.8
2536,584.6
2544,571.4
2552,558.2
2560,545
2568,531.8
2576,518.6
2584,505.4
2592,492.2
2600,479
2608,440.68
2616,402.36
2624,364.04
2632,325.72
2640,287.4
2648,249.08
2656,210.76
2664,172.44
2672,134.12
2680,95.8
2688,57.48
2696,19.16
